,Pick,Years,Games,Minutes,FieldGoal_pcent,ThreePoint_pcent,Freethrow_pcent,Minutes_pg,Points_pg,Rebounds_pg,Assists_pg,Winshares,Winshares_p48,Box_plusminus,Value_over_replacement
443,24,12,764,19520,0.422,0.345,0.857,25.5,12.8,2.9,4.2,33.9,0.083,-0.3,8.3
444,25,5,200,3456,0.447,0.345,0.751,17.3,8.0,2.1,1.4,3.3,0.046,-1.6,0.4
445,26,5,151,2100,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3.0,0.069,-0.1,1.0
446,27,1,36,298,0.446,0.0,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-3.9,-0.1
447,28,6,360,8018,0.407,0.324,0.743,22.3,7.0,2.0,2.7,3.0,0.018,-4.1,-4.1
448,29,12,779,17073,0.443,0.345,0.787,21.9,7.0,2.5,3.0,30.0,0.084,-1.1,3.9
449,30,12,746,24728,0.466,0.322,0.842,33.1,18.1,5.4,4.2,103.9,0.202,4.9,43.3
450,31,9,662,19412,0.46,0.394,0.865,29.3,15.6,3.6,1.7,36.7,0.091,-0.7,6.2
451,32,3,22,150,0.34,0.276,0.333,6.8,2.0,0.8,0.2,-0.3,-0.093,-8.7,-0.2
452,33,6,356,7794,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10.0,0.062,-2.5,-0.9
453,34,8,456,8392,0.423,0.33,0.731,18.4,6.6,2.0,3.1,10.3,0.059,-1.9,0.1
454,35,2,24,120,0.314,0.2,0.714,5.0,1.2,1.0,0.4,-0.1,-0.049,-5.1,-0.1
455,36,1,43,635,0.507,0.0,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-2.1,0.0
456,37,1,24,119,0.393,0.308,0.714,5.0,2.4,1.0,0.1,0.0,0.004,-5.7,-0.1
457,38,9,440,13246,0.462,0.373,0.713,30.1,12.7,4.5,2.7,28.9,0.105,1.1,10.2
458,39,3,104,1034,0.45,0.0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,-7.0,-1.3
459,40,8,377,5945,0.484,0.328,0.767,15.8,6.4,3.8,0.8,13.2,0.107,-0.7,2.0
460,41,4,132,1464,0.384,0.322,0.63,11.1,3.3,1.0,1.4,-0.3,-0.01,-5.1,-1.2
461,42,7,425,7790,0.424,0.397,0.859,18.3,7.8,2.6,1.0,17.5,0.108,0.3,4.5
462,43,3,36,534,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2.5,-0.1
463,44,2,110,1334,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-4.5,-0.8
464,45,3,75,888,0.438,0.347,0.629,11.8,3.5,3.0,0.3,2.1,0.116,-0.4,0.4
465,46,3,49,475,0.393,0.345,0.875,9.7,4.0,0.7,0.5,0.0,0.003,-5.0,-0.3
466,47,1,10,45,0.357,0.0,0.444,4.5,1.4,0.9,0.5,0.1,0.06,-0.3,0.0
467,48,1,3,9,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-0.005,-7.7,0.0
468,49,2,38,296,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-9.5,-0.6
469,50,6,388,6905,0.471,0.133,0.682,17.8,4.8,4.8,1.0,13.8,0.096,-2.1,-0.1
470,51,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,52,1,23,135,0.543,0.0,0.571,5.9,2.0,1.5,0.2,0.5,0.161,1.2,0.1
472,53,5,177,1907,0.402,0.352,0.549,10.8,2.0,1.4,0.7,1.6,0.04,-2.2,-0.1
473,54,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,55,10,598,12564,0.455,0.388,0.742,21.0,7.9,2.0,1.8,14.8,0.057,-1.9,0.2
475,56,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,57,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,60,11,550,15563,0.434,0.362,0.872,28.3,17.7,2.4,4.8,45.3,0.14,2.1,16.1
480,1,11,647,22588,0.43,0.322,0.776,34.9,18.7,4.2,8.9,44.5,0.095,2.2,24.1
481,2,10,705,18938,0.434,0.294,0.782,26.9,9.7,4.6,3.5,20.2,0.051,-1.9,0.5
482,3,12,790,19202,0.534,0.198,0.663,24.3,10.6,7.1,1.1,60.2,0.15,0.9,14.0
483,4,9,609,13472,0.404,0.337,0.741,22.1,7.0,3.2,1.1,10.7,0.038,-1.6,1.2
484,5,11,654,19509,0.46,0.331,0.737,29.8,19.6,10.2,3.0,46.8,0.115,2.4,21.6
485,6,7,384,5694,0.453,0.0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,-1.4,0.8
486,7,10,646,17670,0.514,0.059,0.703,27.4,13.0,8.2,2.1,50.4,0.137,1.4,15.3
487,8,11,711,17698,0.42,0.332,0.746,24.9,7.5,6.0,1.2,27.6,0.075,-0.6,6.5
488,9,13,779,24258,0.454,0.369,0.824,31.1,15.5,4.5,3.5,61.6,0.122,1.7,22.9
489,10,13,790,26574,0.437,0.382,0.85,33.6,20.6,6.4,3.7,81.2,0.147,4.0,40.1
490,11,8,339,3389,0.527,0.0,0.738,10.0,3.1,3.3,0.5,9.6,0.135,0.1,1.8
491,12,5,185,2905,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-4.4,-1.7
492,13,12,722,13756,0.567,0.0,0.583,19.1,5.9,6.4,0.7,43.3,0.151,-0.2,6.2
493,14,11,719,14923,0.447,0.369,0.755,20.8,6.7,3.9,1.0,31.9,0.102,0.0,7.4
494,15,6,238,4635,0.48,0.0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,-1.1,1.1
495,16,8,381,5332,0.408,0.402,0.747,14.0,4.8,2.2,0.6,7.2,0.065,-2.1,-0.1
496,17,7,423,6430,0.489,0.0,0.715,15.2,5.9,3.5,0.6,5.9,0.044,-4.3,-3.6
497,18,12,756,21021,0.452,0.336,0.784,27.8,13.7,3.9,4.7,46.1,0.105,1.6,18.8
498,19,12,660,18151,0.434,0.365,0.783,27.5,11.0,2.8,1.7,17.2,0.045,-2.4,-1.8
499,20,5,247,4320,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.7,-0.8
500,21,2,17,121,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.9,-0.2
501,22,4,109,1470,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-4.9,-1.1
502,23,8,532,10872,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,-0.5,4.2
503,24,4,39,623,0.415,0.0,0.667,16.0,3.8,3.4,0.7,0.0,-0.001,-3.7,-0.3
504,25,3,80,741,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-2.4,-0.1
505,26,7,355,5530,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,-1.8,0.3
506,27,6,281,6843,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-1.3,1.3
507,28,7,401,9520,0.418,0.349,0.817,23.7,9.0,2.5,4.8,12.6,0.064,-1.2,1.8
508,29,3,51,542,0.485,0.0,0.597,10.6,2.8,2.5,0.5,1.0,0.093,-3.5,-0.2
509,30,3,72,591,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.2,-0.3
510,31,1,12,82,0.44,0.0,1.0,6.8,2.0,1.3,0.2,-0.1,-0.041,-11.6,-0.2
511,32,4,50,347,0.45,0.0,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-7.7,-0.5
512,33,10,511,12645,0.586,0.308,0.605,24.7,12.6,10.8,0.6,52.0,0.197,2.5,14.5
513,34,2,47,401,0.458,0.4,0.679,8.5,3.3,1.0,1.2,-0.1,-0.015,-4.1,-0.2
514,35,7,449,9172,0.466,0.384,0.759,20.4,7.6,4.6,1.8,20.0,0.104,0.3,5.4
515,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,37,1,5,39,0.154,0.0,0.0,7.8,0.8,0.6,1.2,-0.2,-0.225,-13.0,-0.1
517,38,1,5,24,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-13.2,-0.1
518,39,5,255,6010,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.3,2.6
519,40,10,554,12680,0.445,0.314,0.694,22.9,8.6,4.1,2.9,17.5,0.066,-1.3,2.3
520,41,2,37,397,0.582,0.0,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-3.3,-0.1
521,42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,43,3,63,711,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5
